Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,24/11/2023,CUST001,Male,34,Beauty,3,50,150
2,27/2/2023,CUST002,Female,26,Clothing,2,500,1000
3,13/1/2023,CUST003,Male,50,Electronics,1,30,30
4,20/4/2023,CUST004,Female,5,,1,20,20
5,21/5/2023,CUST005,Male,37,Clothing,1,500,500
6,6/5/2023,CUST006,Male,30,Beauty,2,50,100
7,25/4/2023,CUST007,Female,45,Beauty,1,30,30
8,13/3/2023,CUST008,Male,46,Clothing,2,25,50
9,22/2/2023,CUST009,Male,30,Electronics,4,25,100
10,13/12/2023,CUST010,Male,63,Electronics,2,300,600
11,7/10/2023,CUST011,Female,52,Clothing,4,50,200
12,14/2/2023,CUST012,Male,23,Clothing,2,50,100
13,30/10/2023,CUST013,Male,35,Beauty,3,25,75
14,5/8/2023,CUST014,Male,22,Electronics,3,500,1500
15,17/1/2023,CUST015,Male,64,Clothing,4,30,120
16,25/4/2023,CUST016,Male,2,,1,40,40
17,16/1/2023,CUST017,Female,42,Electronics,4,500,2000
18,17/2/2023,CUST018,Male,19,Clothing,3,500,1500
19,22/4/2023,CUST019,Female,27,Clothing,4,25,100
20,30/4/2023,CUST020,Female,47,Electronics,2,25,50
21,16/9/2023,CUST021,Female,62,Clothing,2,25,50
22,5/11/2023,CUST022,Male,22,Clothing,3,300,900
23,14/1/2023,CUST023,Female,50,Beauty,1,500,500
24,15/10/2023,CUST024,Male,18,Clothing,2,50,100
25,12/4/2023,CUST025,Female,35,Clothing,4,30,120
26,29/11/2023,CUST026,Female,49,Clothing,1,300,300
27,26/12/2023,CUST027,Female,64,Beauty,1,50,50
28,7/10/2023,CUST028,Female,28,Electronics,2,500,1000
29,29/10/2023,CUST029,Female,18,Electronics,-2,-20,-40
30,23/5/2023,CUST030,Female,25,Electronics,0,0,0
31,3/8/2023,CUST031,Female,38,Beauty,2,25,50
32,23/4/2023,CUST032,Female,43,Beauty,1,500,500
33,18/8/2023,CUST033,Female,42,Electronics,1,30,30
34,29/10/2023,CUST034,Female,39,Beauty,3,300,900
35,23/5/2023,CUST035,Male,44,Electronics,4,300,1200
36,4/1/2023,CUST036,Male,30,Beauty,3,30,90
37,23/3/2023,CUST037,Female,50,Electronics,2,50,100
38,24/12/2023,CUST038,Female,51,Clothing,3,50,150
39,21/3/2023,CUST039,Female,,Electronics,,,
40,5/8/2023,CUST040,Female,58,Beauty,3,300,900
41,24/6/2023,CUST041,Male,52,Beauty,3,300,900
42,23/5/2023,CUST042,Female,18,Beauty,3,25,75
43,21/3/2023,CUST043,Male,38,Beauty,4,50,200
44,21/4/2023,CUST044,Male,,Electronics,,,
45,21/4/2023,CUST045,Male,23,Clothing,4,30,120
46,22/6/2023,CUST046,Male,45,Beauty,1,50,50
47,22/2/2023,CUST047,Male,34,Clothing,2,25,50
48,17/2/2023,CUST048,Male,22,Clothing,3,300,900
49,14/7/2023,CUST049,Female,48,Clothing,1,300,300
50,19/2/2023,CUST050,Female,22,Clothing,1,25,25
51,3/7/2023,CUST051,Female,55,Electronics,1,30,30
52,26/6/2023,CUST052,Female,20,Electronics,4,300,1200
53,6/11/2023,CUST053,Female,40,Beauty,3,500,1500
54,16/5/2023,CUST054,Male,54,Electronics,3,300,900
55,23/1/2023,CUST055,Female,54,Electronics,2,500,1000
56,10/2/2023,CUST056,,,Beauty,,,
57,24/8/2023,CUST057,Female,27,Beauty,3,25,75
58,2/10/2023,CUST058,Male,27,Beauty,3,25,75
59,5/3/2023,CUST059,Female,36,Beauty,1,300,300
60,13/7/2023,CUST060,Male,34,Electronics,2,50,100
61,23/1/2023,CUST061,,,Beauty,,,
62,10/2/2023,CUST062,Female,38,Electronics,3,500,1500
63,10/10/2023,CUST063,Male,31,Beauty,4,30,120
64,31/5/2023,CUST064,Female,26,Clothing,3,300,900
65,18/11/2023,CUST065,Female,63,Beauty,1,30,30
66,13/11/2023,CUST066,Male,18,Clothing,4,300,1200
67,5/7/2023,CUST067,Male,62,Clothing,1,50,50
68,23/10/2023,CUST068,Male,30,Beauty,3,50,150
69,9/4/2023,CUST069,Male,21,Beauty,4,50,200
70,27/12/2023,CUST070,Male,18,Beauty,2,50,100
